Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TS_DATA
Q95M37	Chordata	Eukaryota	Mammalia	integral component of membrane [GO:0016021]; UDP-glycosyltransferase activity [GO:0008194]	None	UDP-glycosyltransferase activity [GO:0008194]	integral component of membrane [GO:0016021]	GO:0008194; GO:0016021	UDP-glucuronosyltransferase	None	None	None	None	None	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
F1PJF0	None	None	None	None	None	None	None	None	Deleted.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
Q9N280	Chordata	Eukaryota	Mammalia	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; synapse [GO:0045202]; glutamate binding [GO:0016595]; glutamate:sodium symporter activity [GO:0015501]; high-affinity L-glutamate transmembrane transporter activity [GO:0005314]; L-glutamate transmembrane transporter activity [GO:0005313]; neutral amino acid transmembrane transporter activity [GO:0015175]; auditory behavior [GO:0031223]; cell morphogenesis involved in neuron differentiation [GO:0048667]; cellular response to cocaine [GO:0071314]; cellular sodium ion homeostasis [GO:0006883]; chloride transmembrane transport [GO:1902476]; cranial nerve development [GO:0021545]; D-aspartate import across plasma membrane [GO:0070779]; gamma-aminobutyric acid biosynthetic process [GO:0009449]; L-aspartate import across plasma membrane [GO:0140009]; L-glutamate import across plasma membrane [GO:0098712]; L-glutamate transmembrane transport [GO:0015813]; neuromuscular process controlling balance [GO:0050885]; positive regulation of synaptic transmission [GO:0050806]; potassium ion transmembrane transport [GO:0071805]; response to antibiotic [GO:0046677]; response to light stimulus [GO:0009416]; response to wounding [GO:0009611]; response to xenobiotic stimulus [GO:0009410]; sensory perception of sound [GO:0007605]	auditory behavior [GO:0031223]; cell morphogenesis involved in neuron differentiation [GO:0048667]; cellular response to cocaine [GO:0071314]; cellular sodium ion homeostasis [GO:0006883]; chloride transmembrane transport [GO:1902476]; cranial nerve development [GO:0021545]; D-aspartate import across plasma membrane [GO:0070779]; gamma-aminobutyric acid biosynthetic process [GO:0009449]; L-aspartate import across plasma membrane [GO:0140009]; L-glutamate import across plasma membrane [GO:0098712]; L-glutamate transmembrane transport [GO:0015813]; neuromuscular process controlling balance [GO:0050885]; positive regulation of synaptic transmission [GO:0050806]; potassium ion transmembrane transport [GO:0071805]; response to antibiotic [GO:0046677]; response to light stimulus [GO:0009416]; response to wounding [GO:0009611]; response to xenobiotic stimulus [GO:0009410]; sensory perception of sound [GO:0007605]	glutamate:sodium symporter activity [GO:0015501]; glutamate binding [GO:0016595]; high-affinity L-glutamate transmembrane transporter activity [GO:0005314]; L-glutamate transmembrane transporter activity [GO:0005313]; neutral amino acid transmembrane transporter activity [GO:0015175]	cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; synapse [GO:0045202]	GO:0005313; GO:0005314; GO:0005886; GO:0005887; GO:0006883; GO:0007605; GO:0009410; GO:0009416; GO:0009449; GO:0009611; GO:0009986; GO:0015175; GO:0015501; GO:0015813; GO:0016595; GO:0021545; GO:0031223; GO:0043005; GO:0043025; GO:0045202; GO:0046677; GO:0048667; GO:0050806; GO:0050885; GO:0070779; GO:0071314; GO:0071805; GO:0098712; GO:0140009; GO:1902476	Amino acid transporter	Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family	KOG3787;	1.10.3860.10;	CLU_019375_3_2_1;	GHGMNVD;	1184392at2759;	PF00375;	None	SSF118215;	None	None	None	None	None	None
P56592	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; aromatase activity [GO:0070330]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; estrogen 2-hydroxylase activity [GO:0101021]; heme binding [GO:0020037]; hydroperoxy icosatetraenoate dehydratase activity [GO:0106256]; iron ion binding [GO:0005506]; arachidonic acid metabolic process [GO:0019369]; cholesterol metabolic process [GO:0008203]; estrogen metabolic process [GO:0008210]; retinol metabolic process [GO:0042572]	arachidonic acid metabolic process [GO:0019369]; cholesterol metabolic process [GO:0008203]; estrogen metabolic process [GO:0008210]; retinol metabolic process [GO:0042572]	aromatase activity [GO:0070330]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; estrogen 2-hydroxylase activity [GO:0101021]; heme binding [GO:0020037]; hydroperoxy icosatetraenoate dehydratase activity [GO:0106256]; iron ion binding [GO:0005506]	endoplasmic reticulum membrane [GO:0005789]	GO:0005506; GO:0005789; GO:0008203; GO:0008210; GO:0019369; GO:0020037; GO:0042572; GO:0070330; GO:0101020; GO:0101021; GO:0106256	Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P450-D2) (DAH2) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	Cytochrome P450 family	KOG0156;	1.10.630.10;	None	None	None	PF00067;	None	SSF48264;	None	None	None	None	None	None
Q64435	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]; glucuronate metabolic process [GO:0019585]; liver development [GO:0001889]	cellular glucuronidation [GO:0052695]; glucuronate metabolic process [GO:0019585]; liver development [GO:0001889]	enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	GO:0001889; GO:0005743; GO:0005783; GO:0005789; GO:0015020; GO:0016021; GO:0019585; GO:0019899; GO:0052695	UDP-glucuronosyltransferase 1-6 (UDPGT 1-6) (UGT1*6) (UGT1-06) (UGT1.6) (EC 2.4.1.17) (Phenol UDP-glucuronosyltransferase) (UDP-glucuronosyltransferase 1A6) (UGT1A6) (UGP1A1) (UGT1A7)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_3_0_1;	CHYFEEG;	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
Q9BY64	Chordata	Eukaryota	Mammalia	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear outer membrane [GO:0005640]; perinuclear region of cytoplasm [GO:0048471]; glucuronosyltransferase activity [GO:0015020]; cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; steroid metabolic process [GO:0008202]; xenobiotic glucuronidation [GO:0052697]	cellular glucuronidation [GO:0052695]; estrogen metabolic process [GO:0008210]; steroid metabolic process [GO:0008202]; xenobiotic glucuronidation [GO:0052697]	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear outer membrane [GO:0005640]; perinuclear region of cytoplasm [GO:0048471]	GO:0005640; GO:0005783; GO:0005789; GO:0008202; GO:0008210; GO:0015020; GO:0016021; GO:0048471; GO:0052695; GO:0052697	UDP-glucuronosyltransferase 2B28 (UDPGT 2B28) (UGT2B28) (EC 2.4.1.17)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_3_0_1;	RWIDLPK;	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
Q9Y4X1	None	None	None	None	None	None	None	None	Demerged into P0DTE4 and P0DTE5.	None	None	None	None	None	None	None	None	None	None	None	None	37_count=1	None	None
D2SMM1	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
D2SML9	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	KOG1192;	None	CLU_012949_3_2_1;	None	508327at2759;	PF00201;	None	None	None	None	None	None	None	None
D2SMM4	Chordata	Eukaryota	Mammalia	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	None	glucuronosyltransferase activity [GO:0015020]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0015020; GO:0016021	UDP-glucuronosyltransferase (EC 2.4.1.17)	UDP-glycosyltransferase family	None	None	None	None	None	PF00201;	None	None	None	None	None	None	None	None
