Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
Q72HW2	Deinococcus-Thermus	Bacteria	Deinococci	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	GO:0005507; GO:0052716	Laccase (EC 1.10.3.2)	None	COG2132;	2.60.40.420;	CLU_009100_2_1_0;	LLPKQWG;	971126at2;	PF00394;PF07731;PF07732;	None	SSF49503;	0.0153;syringaldazine_count=1;0.167;syringaldazine_count=2;0.256;syringaldazine_count=3;0.9;2,2'-azinobis (3-ethylbenzthiazoline-6-sulfonate)_count=4;1.88;syringaldazine_count=5;2.4;2,2'-azinobis (3-ethylbenzthiazoline-6-sulfonate)_count=6;3.8;2,2'-azinobis (3-ethylbenzthiazoline-6-sulfonate)_count=7;4.4;2,2'-azinobis (3-ethylbenzthiazoline-6-sulfonate)_count=8	4.5-5.5_count=1;6-8_count=2	None	60_count=1;90_count=2;92_count=3	None	1.58;2,2'-azinobis (3-ethylbenzthiazoline-6-sulfonate)_count=1;10.3;syringaldazine_count=2;24.6;2,2'-azinobis (3-ethylbenzthiazoline-6-sulfonate)_count=3;3.33;2,2'-azinobis (3-ethylbenzthiazoline-6-sulfonate)_count=4;3.66;syringaldazine_count=5;4.77;2,2'-azinobis (3-ethylbenzthiazoline-6-sulfonate)_count=6;5.33;syringaldazine_count=7;6.47;syringaldazine_count=8	65_count=1
Q9KJB8	Proteobacteria	Bacteria	Gammaproteobacteria	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	GO:0005507; GO:0016491	Polyphenol oxidase	None	None	2.60.40.420;	None	RTRYERY;	None	PF07731;PF07732;	None	SSF49503;	0.011;catechol_count=1;0.018;catechol_count=2;0.022;catechol_count=3;0.172;2,6-dimethoxyphenol_count=4;0.293;2,6-dimethoxyphenol_count=5;1.163;2,2'-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid)_count=6;1.263;2,2'-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid)_count=7;1.84;2,2'-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid)_count=10;1.98;2,6-dimethoxyphenol_count=11	3-9_count=1	None	25_count=1	None	0.92;2,6-dimethoxyphenol_count=4;1.53;catechol_count=5;1.74;2,6-dimethoxyphenol_count=6;1.98;2,6-dimethoxyphenol_count=7;2.0;2,2'-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid)_count=8;2.18;catechol_count=9;2.5;2,2'-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid)_count=10;4.2;catechol_count=11;4.5;2,2'-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid)_count=12	100_count=1
A0A144KZJ7	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.01;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;0.5;2,6-dimethoxyphenol_count=2;2.23;guaiacol_count=3;3.77;syringaldazine_count=4	3.5_count=1;5.5_count=2;3_count=3	None	50_count=1	None	None	None
A0A144KZI7	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.01;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;0.5;2,6-dimethoxyphenol_count=2;2.23;guaiacol_count=3;3.77;syringaldazine_count=4	3.5_count=1;5.5_count=2;3_count=3	None	50_count=1	None	None	None
A0A144KZF3	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.01;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;0.5;2,6-dimethoxyphenol_count=2;2.23;guaiacol_count=3;3.77;syringaldazine_count=4	3.5_count=1;5.5_count=2;3_count=3	None	50_count=1	None	None	None
A0A144KZK6	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.01;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1;0.5;2,6-dimethoxyphenol_count=2;2.23;guaiacol_count=3;3.77;syringaldazine_count=4	3.5_count=1;5.5_count=2;3_count=3	None	50_count=1	None	None	None
A0A0U2LZJ6	Streptophyta	Eukaryota	Magnoliopsida	apoplast [GO:0048046]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]	lignin catabolic process [GO:0046274]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	apoplast [GO:0048046]	GO:0005507; GO:0046274; GO:0048046; GO:0052716	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	1.26;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1	2.6_count=1	None	40_count=1	None	0.018534;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1	None
X5JAK9	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0016491	Benzenediol:oxygen oxidoreductase	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.204;syringaldazine_count=1;0.205;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2;0.455;guaiacol_count=3;7.131;2,6-dimethylyphenol_count=4	6_count=1;5.5_count=2;3_count=3	None	60_count=1;65_count=2	None	0.196;guaiacol_count=1;1.467;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2;1.468;2,6-dimethylyphenol_count=3;44.71;syringaldazine_count=4	None
Q38757	Streptophyta	Eukaryota	Magnoliopsida	apoplast [GO:0048046]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]	lignin catabolic process [GO:0046274]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	apoplast [GO:0048046]	GO:0005507; GO:0046274; GO:0048046; GO:0052716	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	None	None	None	None	None	None	None
Q08AC1	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase 6 (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;	0.149;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=1	3_count=1	None	40_count=1	None	2.3;2,6-dimethoxyphenol_count=1;32.03;2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)_count=2	None
