Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM
A1SZA3	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;
A5WDH9	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;
A0A0H3FM50	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	None	PF01220;	None	SSF52304;
A8AQF2	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	None	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;
Q0VMZ2	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	None	PF01220;	None	SSF52304;
P36923	Firmicutes	Bacteria	Bacilli	3-dehydroquinate dehydratase activity [GO:0003855]; 3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0046279	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Type-I 3-dehydroquinase family	COG0710;	3.20.20.70;	CLU_064444_0_0_9;	ATMAMGE;	None	PF01487;	None	None
A3M692	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	None	3.40.50.9100;	CLU_090968_1_0_6;	None	None	PF01220;	None	SSF52304;
O52377	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_2_0_11;	VIECHIS;	None	PF01220;	None	SSF52304;
P24670	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; 3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0046279	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Type-I 3-dehydroquinase family	COG0710;	3.20.20.70;	CLU_064444_0_0_6;	ATMAMGE;	None	PF01487;	None	None
O30557	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; quinate catabolic process [GO:0019631]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; quinate catabolic process [GO:0019631]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0019631	3-dehydroquinate dehydratase 1 (3-dehydroquinase 1) (EC 4.2.1.10) (Type II DHQase 1)	Type-II 3-dehydroquinase family	None	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	None	PF01220;	None	SSF52304;
