Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN
A1SZA3	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;	0.2026;3-dehydroquinate_count=1	None	None	None	None	10.59;3-dehydroquinate_count=1
A5WDH9	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;	0.2032;3-dehydroquinate_count=1	None	None	None	None	31.7;3-dehydroquinate_count=1
A0A0H3FM50	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	None	PF01220;	None	SSF52304;	0.4787;3-dehydroquinate_count=1	None	None	None	None	102.15;3-dehydroquinate_count=1
A8AQF2	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	None	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	1872106at2;	PF01220;	None	SSF52304;	0.8704;3-dehydroquinate_count=1	None	None	None	None	208.96;3-dehydroquinate_count=1
Q0VMZ2	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	None	PF01220;	None	SSF52304;	0.2107;3-dehydroquinate_count=1	None	None	None	None	13.53;3-dehydroquinate_count=1
P36923	Firmicutes	Bacteria	Bacilli	3-dehydroquinate dehydratase activity [GO:0003855]; 3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0046279	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Type-I 3-dehydroquinase family	COG0710;	3.20.20.70;	CLU_064444_0_0_9;	ATMAMGE;	None	PF01487;	None	None	0.065;3-dehydroquinate_count=1	None	0.019;rhoifolin_count=1;0.042;7-hydroxycoumarin_count=2;0.34;marein_count=3	None	None	110.0;3-dehydroquinate_count=1
A3M692	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	None	3.40.50.9100;	CLU_090968_1_0_6;	None	None	PF01220;	None	SSF52304;	None	None	None	None	None	None
O52377	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Type-II 3-dehydroquinase family	COG0757;	3.40.50.9100;	CLU_090968_2_0_11;	VIECHIS;	None	PF01220;	None	SSF52304;	0.2814;3-dehydroquinate_count=1	None	None	None	None	52.26;3-dehydroquinate_count=1
P24670	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; 3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0046279	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Type-I 3-dehydroquinase family	COG0710;	3.20.20.70;	CLU_064444_0_0_6;	ATMAMGE;	None	PF01487;	None	None	0.024;3-dehydroquinate_count=1	None	0.305;(2R)-2-methyl-3-dehydroquinic acid_count=1	None	None	1.1;3-dehydroquinate_count=1
O30557	Proteobacteria	Bacteria	Gammaproteobacteria	3-dehydroquinate dehydratase activity [GO:0003855]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; quinate catabolic process [GO:0019631]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]; quinate catabolic process [GO:0019631]	3-dehydroquinate dehydratase activity [GO:0003855]	None	GO:0003855; GO:0008652; GO:0009073; GO:0009423; GO:0019631	3-dehydroquinate dehydratase 1 (3-dehydroquinase 1) (EC 4.2.1.10) (Type II DHQase 1)	Type-II 3-dehydroquinase family	None	3.40.50.9100;	CLU_090968_1_0_6;	AYTHYSY;	None	PF01220;	None	SSF52304;	2.94;3-dehydroquinate_count=1	None	None	None	None	18.72;3-dehydroquinate_count=1
