Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_TS_DATA
A0A024FRN3	Streptophyta	Eukaryota	Magnoliopsida	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
Q7FYS2	Streptophyta	Eukaryota	Magnoliopsida	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005783; GO:0005788; GO:0006457; GO:0034976	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
A0A024FRN8	Streptophyta	Eukaryota	Magnoliopsida	protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	None	GO:0003756	Protein disulfide isomerase family protein 5-1	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
A0A1D9J5F8	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5I0	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5F3	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5H4	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5H1	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5F0	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5H3	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5E6	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5F1	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5H2	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
A0A1D9J5E3	Mollusca	Eukaryota	Gastropoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	25_count=1	50_count=1
G0W5T0	Ascomycota	Eukaryota	Saccharomycetes	integral component of membrane [GO:0016021]	None	None	integral component of membrane [GO:0016021]	GO:0016021	Thioredoxin domain-containing protein	None	KOG0191;	None	CLU_024937_0_0_1;	RQVNCVE;	522268at2759;	PF00085;	None	SSF52833;	None	None	None
C7GJH6	Ascomycota	Eukaryota	Saccharomycetes	integral component of membrane [GO:0016021]	None	None	integral component of membrane [GO:0016021]	GO:0016021	Eps1p	None	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
C1LNQ6	Platyhelminthes	Eukaryota	Trematoda	endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]	None	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum lumen [GO:0005788]	GO:0003756; GO:0005788	Protein disulfide-isomerase (EC 5.3.4.1)	Protein disulfide isomerase family	None	None	None	None	None	PF00085;	None	SSF52833;	None	None	None
D8L9B3	Streptophyta	Eukaryota	Magnoliopsida	endoplasmic reticulum [GO:0005783]; protein disulfide isomerase activity [GO:0003756]; protein folding [GO:0006457]	protein folding [GO:0006457]	protein disulfide isomerase activity [GO:0003756]	endoplasmic reticulum [GO:0005783]	GO:0003756; GO:0005783; GO:0006457	Protein disulfide isomerase family protein 4-1 (Putative PDI-like protein)	Protein disulfide isomerase family	KOG0191;	1.20.1150.12;	CLU_038617_1_0_1;	CTKYDVQ;	None	PF07749;PF00085;	None	SSF47933;SSF52833;	None	None	None
