#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name                        accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- -----              -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A7J5NKL6_class_2_c1_domain -            144 kari_class_1_swissprot_c1_domains -            146   4.4e-59  196.5   0.1   1   1   5.2e-59   5.2e-59  196.3   0.1     1   142     1   140     1   143 0.98 -
A0A2K8VC83_class_2_c1_domain -            136 kari_class_1_swissprot_c1_domains -            146   2.6e-19   67.5   0.0   1   1   2.8e-19   2.8e-19   67.4   0.0     1   136     1   135     1   136 0.96 -
A0A2G6FSF3_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   2.6e-19   67.5   0.1   1   1   3.1e-19   3.1e-19   67.3   0.1     1   136     1   135     1   143 0.95 -
A0A1V1ZHA6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   2.9e-19   67.3   0.2   1   1   3.5e-19   3.5e-19   67.1   0.2     1   135     1   134     1   137 0.96 -
A0A550I2H1_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   3.2e-19   67.2   0.2   1   1   3.5e-19   3.5e-19   67.1   0.2     1   141     1   140     1   145 0.95 -
A0A7M3SX22_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   3.9e-19   66.9   0.2   1   1   4.6e-19   4.6e-19   66.7   0.2     1   138     1   137     1   144 0.95 -
A0A3N4NS45_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.1e-19   66.8   0.2   1   1     5e-19     5e-19   66.6   0.2     1   138     1   137     1   144 0.95 -
A0A1J4TAQ0_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.1e-19   66.8   0.1   1   1   4.7e-19   4.7e-19   66.6   0.1     1   135     1   134     1   143 0.96 -
A0A2M7VMK6_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.1e-19   66.8   0.1   1   1   4.7e-19   4.7e-19   66.6   0.1     1   135     1   134     1   143 0.96 -
A0A2S7TLX2_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.3e-19   66.8   0.1   1   1   5.2e-19   5.2e-19   66.5   0.1     1   136     1   135     1   139 0.95 -
A0A432IH49_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.5e-19   66.7   0.3   1   1   5.4e-19   5.4e-19   66.5   0.3     1   137     1   136     1   143 0.95 -
A0A172WE86_class_2_c1_domain -            133 kari_class_1_swissprot_c1_domains -            146   4.5e-19   66.7   0.0   1   1   5.1e-19   5.1e-19   66.5   0.0     1   133     1   132     1   133 0.95 -
A0A5C6RTV9_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   4.8e-19   66.6   0.2   1   1   5.4e-19   5.4e-19   66.5   0.2     1   137     1   136     1   144 0.95 -
A0A109PXQ5_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   5.2e-19   66.5   0.7   1   1   6.1e-19   6.1e-19   66.3   0.7     1   138     1   137     1   144 0.94 -
A0A2T6AFG9_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   7.9e-19   65.9   0.2   1   1   9.3e-19   9.3e-19   65.7   0.2     1   138     1   137     1   144 0.95 -
A0A1Z9FXD4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146     8e-19   65.9   1.1   1   1   9.4e-19   9.4e-19   65.7   1.1     1   135     1   134     1   141 0.94 -
A0A6M0CK65_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.4e-19   65.8   0.2   1   1   9.9e-19   9.9e-19   65.6   0.2     1   135     1   134     1   141 0.95 -
A0A2S9JLT7_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.4e-19   65.8   0.1   1   1     1e-18     1e-18   65.6   0.1     1   135     1   134     1   139 0.96 -
F4CD83_class_2_c1_domain     -            145 kari_class_1_swissprot_c1_domains -            146   8.7e-19   65.8   0.1   1   1     1e-18     1e-18   65.5   0.1     1   135     1   134     1   138 0.96 -
A0A5C1QV19_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.7e-19   65.8   0.4   1   1     1e-18     1e-18   65.5   0.4     1   136     1   135     1   142 0.96 -
A0A7Y2ZRV4_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   8.7e-19   65.8   0.2   1   1     1e-18     1e-18   65.5   0.2     1   136     1   135     1   141 0.95 -
A0A7G9BRQ0_class_2_c1_domain -            145 kari_class_1_swissprot_c1_domains -            146   1.1e-18   65.5   0.1   1   1   1.3e-18   1.3e-18   65.3   0.1     1   135     1   134     1   138 0.95 -
